用例ID,关联需求,测试场景,前置条件,步骤描述,输入,期望输出,优先级
TC-001,"R001,R002,R004",登录-正常登录成功,系统已启动；存在测试用户账号：admin（用户名4字符），密码：admin（6字符）,"1.在登录页面，输入正确的用户名和密码
2.点击""登录""按钮",1.用户名：admin，密码：admin,"1.用户名和密码输入成功
2.登录成功，跳转到工作台页面",P0
TC-002,R001,登录-用户名为空,系统已启动,"1.在登录页面，用户名留空，输入任意密码
2.点击""登录""按钮",1.用户名：（空），密码：anypassword,"1.密码输入成功
2.提示""用户名不能为空""，停留在登录页面",P0
TC-003,R002,登录-密码为空,系统已启动；存在测试用户账号,"1.在登录页面，输入用户名，密码留空
2.点击""登录""按钮",1.用户名：admin，密码：（空）,"1.用户名输入成功
2.提示""密码不能为空""，停留在登录页面",P0
TC-004,R001,登录-用户名3字符（边界值）,系统已启动,"1.在登录页面，输入3字符用户名
2.点击""登录""按钮",1.用户名：abc，密码：admin,"1.用户名和密码输入成功
2.提示""用户名长度需4-50字符""",P1
TC-005,R001,登录-用户名4字符（边界值）,系统已启动；存在4字符用户名的测试账号,"1.在登录页面，输入4字符用户名和正确密码
2.点击""登录""按钮",1.用户名：test，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-006,R001,登录-用户名50字符（边界值）,系统已启动；存在50字符用户名的测试账号,"1.在登录页面，输入50字符用户名和正确密码
2.点击""登录""按钮",1.用户名：aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-007,R001,登录-用户名51字符（边界值）,系统已启动,"1.在登录页面，输入51字符用户名
2.点击""登录""按钮",1.用户名：aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa，密码：admin,"1.用户名和密码输入成功
2.提示""用户名长度需4-50字符""",P1
TC-008,R001,登录-用户名支持中文,系统已启动；存在中文用户名的测试账号：张三,"1.在登录页面，输入中文用户名和正确密码
2.点击""登录""按钮",1.用户名：张三，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-009,R001,登录-用户名支持英文,系统已启动；存在英文用户名的测试账号：testuser,"1.在登录页面，输入英文用户名和正确密码
2.点击""登录""按钮",1.用户名：testuser，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-010,R001,登录-用户名支持数字,系统已启动；存在纯数字用户名的测试账号：user123,"1.在登录页面，输入纯数字用户名和正确密码
2.点击""登录""按钮",1.用户名：user123，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-011,R001,登录-用户名支持下划线,系统已启动；存在带下划线用户名的测试账号：user_name,"1.在登录页面，输入带下划线的用户名和正确密码
2.点击""登录""按钮",1.用户名：user_name，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-012,R001,登录-用户名支持混合字符,系统已启动；存在混合字符用户名的测试账号：张三_test_001,"1.在登录页面，输入混合字符用户名和正确密码
2.点击""登录""按钮",1.用户名：张三_test_001，密码：admin,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-013,R001,登录-用户名不支持特殊字符,系统已启动,1.在登录页面，输入包含特殊字符的用户名,1.用户名：test@user#123，密码：admin,"1.提示""用户名格式不正确，仅支持中文、英文、数字、下划线""",P1
TC-014,R001,登录-用户名不存在,系统已启动,"1.在登录页面，输入不存在的用户名
2.点击""登录""按钮",1.用户名：notexist，密码：admin,"1.用户名和密码输入成功
2.提示""用户名或密码错误""，停留在登录页面",P0
TC-015,R002,登录-密码5字符（边界值）,系统已启动,"1.在登录页面，输入任意用户名和5字符密码
2.点击""登录""按钮",1.用户名：test，密码：12345,"1.用户名和密码输入成功
2.提示""密码长度需6-32字符""",P1
TC-016,R002,登录-密码6字符（边界值）,系统已启动；存在6字符密码的测试账号,"1.在登录页面，输入正确用户名和6字符密码
2.点击""登录""按钮",1.用户名：admin，密码：123456,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-017,R002,登录-密码32字符（边界值）,系统已启动；存在32字符密码的测试账号,"1.在登录页面，输入正确用户名和32字符密码
2.点击""登录""按钮",1.用户名：admin，密码：aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,"1.用户名和密码输入成功
2.正常进行登录验证",P1
TC-018,R002,登录-密码33字符（边界值）,系统已启动,"1.在登录页面，输入任意用户名和33字符密码
2.点击""登录""按钮",1.用户名：test，密码：aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,"1.用户名和密码输入成功
2.提示""密码长度需6-32字符""",P1
TC-019,R002,登录-密码错误,系统已启动；存在测试用户账号：admin,"1.在登录页面，输入正确用户名、错误密码
2.点击""登录""按钮",1.用户名：admin，密码：wrongpwd,"1.用户名和密码输入成功
2.提示""用户名或密码错误""，停留在登录页面",P0
TC-020,R003,登录-连续失败4次不锁定,系统已启动；存在测试用户账号,"1.在登录页面，输入正确用户名、错误密码，点击""登录""（第1次）
2.输入正确用户名、错误密码，点击""登录""（第2次）
3.输入正确用户名、错误密码，点击""登录""（第3次）
4.输入正确用户名、错误密码，点击""登录""（第4次）
5.输入正确用户名和密码，点击""登录""","1.用户名：admin，密码：wrong1
2.用户名：admin，密码：wrong2
3.用户名：admin，密码：wrong3
4.用户名：admin，密码：wrong4
5.用户名：admin，密码：admin","1.提示""用户名或密码错误""
2.提示""用户名或密码错误""
3.提示""用户名或密码错误""
4.提示""用户名或密码错误""
5.登录成功，跳转到工作台",P1
TC-021,R003,登录-连续失败5次锁定账号,系统已启动；存在测试用户账号,"1.在登录页面，输入正确用户名、错误密码，点击""登录""（第1次）
2.输入正确用户名、错误密码，点击""登录""（第2次）
3.输入正确用户名、错误密码，点击""登录""（第3次）
4.输入正确用户名、错误密码，点击""登录""（第4次）
5.输入正确用户名、错误密码，点击""登录""（第5次）","1.用户名：admin，密码：wrong1
2.用户名：admin，密码：wrong2
3.用户名：admin，密码：wrong3
4.用户名：admin，密码：wrong4
5.用户名：admin，密码：wrong5","1.提示""用户名或密码错误""
2.提示""用户名或密码错误""
3.提示""用户名或密码错误""
4.提示""用户名或密码错误""
5.提示""账号已锁定，请10分钟后再试""",P0
TC-022,R003,登录-锁定期间无法登录,系统已启动；测试账号已被锁定,"1.在登录页面，输入已锁定账号的正确用户名和密码
2.点击""登录""按钮",1.用户名：admin，密码：admin,"1.用户名和密码输入成功
2.提示""账号已锁定，请10分钟后再试""，停留在登录页面",P0
TC-023,R003,登录-10分钟后自动解锁,系统已启动；测试账号已被锁定超过10分钟,"1.在登录页面，输入已解锁账号的正确用户名和密码
2.点击""登录""按钮",1.用户名：admin，密码：admin,"1.用户名和密码输入成功
2.登录成功，跳转到工作台",P1
TC-024,R004,登录-会话创建成功,系统已启动；存在测试用户账号：admin，密码：admin,"1.在登录页面，输入正确的用户名和密码
2.点击""登录""按钮",1.用户名：admin，密码：admin,"1.用户名和密码输入成功
2.登录成功，跳转到工作台，会话已创建",P0
TC-025,R004,登录-会话有效期内正常访问,系统已启动；用户已登录且会话创建时间小于2小时,"1.用户已登录系统，等待1小时59分钟
2.点击任意菜单或刷新页面",,"1.系统保持登录状态
2.页面正常加载，用户保持登录状态",P1
TC-026,R004,登录-会话超时自动退出,系统已启动；用户已登录且会话创建时间超过2小时,"1.用户已登录系统，等待2小时1分钟
2.点击任意菜单或刷新页面",,"1.系统检测到会话超时
2.自动跳转到登录页面，提示""会话已过期，请重新登录""",P0
TC-027,R004,登录-主动退出登录,系统已启动；存在测试用户账号：admin，密码：admin,"1.在登录页面，输入用户名和密码，点击""登录""
2.点击页面右上角的""退出""按钮
3.点击""确认""",1.用户名：admin，密码：admin,"1.登录成功，跳转到工作台
2.弹出""确认退出""提示
3.退出成功，返回到登录页面，会话已销毁",P1
TC-028,,登录-SQL注入攻击测试,系统已启动,"1.在登录页面，输入包含SQL注入语句的用户名
2.点击""登录""按钮",1.用户名：' OR '1'='1，密码：anypassword,"1.用户名和密码输入成功
2.提示""用户名或密码错误""，系统不被SQL注入",P2
TC-029,,登录-XSS攻击测试,系统已启动,"1.在登录页面，输入包含XSS脚本的用户名
2.点击""登录""按钮",1.用户名：<script>alert(1)</script>，密码：anypassword,"1.用户名和密码输入成功
2.提示""用户名或密码错误""，不执行XSS脚本",P2
TC-030,,登录-登录页面加载时间,系统已启动,1.打开登录页面，记录加载时间,,1.登录页面正常显示，加载时间≤2秒,P2
TC-031,,登录-登录操作响应时间,系统已启动；存在测试用户账号：admin，密码：admin,"1.在登录页面，输入正确的用户名和密码
2.点击""登录""按钮，记录响应时间",1.用户名：admin，密码：admin,"1.用户名和密码输入成功
2.登录成功，响应时间≤2秒",P2
TC-032,,工作台-数据卡片区展示,用户已登录系统（admin/admin）,1.用户登录成功后进入工作台,,1.工作台页面正常显示，包含关键业务数据概览卡片,P1
TC-033,,工作台-待跟进客户列表展示,用户已登录系统，存在待跟进客户数据,1.在工作台页面，查看待跟进客户列表,,1.列表展示客户名称、下次跟进时间、负责人信息,P1
TC-034,,工作台-添加跟进记录入口,用户已登录系统，存在待跟进客户,1.在工作台-待跟进客户列表中，点击「添加跟进」按钮,,"1.弹出""添加跟进记录""弹窗",P0
TC-035,,工作台-添加跟进-跟进方式选择,用户已登录系统，弹出添加跟进记录弹窗,"1.在添加跟进记录弹窗中，点击跟进方式下拉框
2.选择""电话""跟进方式",2.跟进方式：电话,"1.下拉框展开，可选择：电话/拜访/微信/邮件/短信
2.已选中""电话""",P1
TC-036,,工作台-添加跟进-跟进内容输入,用户已登录系统，弹出添加跟进记录弹窗,"1.在跟进内容文本域中，输入跟进详情
2.输入500字符（最大限制）","1.跟进内容：与客户沟通了项目需求，确认下周安排演示
2.跟进内容：aaa...（500字符）","1.跟进内容输入成功
2.输入成功，最多支持500字符",P1
TC-037,,工作台-添加跟进-下次跟进时间选择,用户已登录系统，弹出添加跟进记录弹窗,1.在下次跟进时间选择器中，选择未来日期,1.下次跟进时间：2025-12-31,1.日期选择成功,P1
TC-038,,工作台-添加跟进-提交成功,用户已登录系统，弹出添加跟进记录弹窗，填写完整信息,"1.在弹窗中选择跟进方式为""电话""
2.输入跟进内容
3.点击""保存""按钮","1.跟进方式：电话
2.跟进内容：与客户沟通了项目需求","1.已选中""电话""
2.跟进内容输入成功
3.弹窗关闭，跟进记录保存成功，下次跟进时间列更新",P0
TC-039,,工作台-待审批事项卡片展示,用户已登录系统，存在待审批事项,1.在工作台页面，查看待审批事项卡片,,1.每个审批项为独立卡片，包含审批类型、内容摘要、操作按钮,P1
TC-040,,工作台-待审批事项-审批通过,用户已登录系统，存在待审批合同,"1.在待审批事项卡片中，点击""同意""按钮
2.点击确认",,"1.弹出确认提示
2.审批通过，事项从待审批列表中移除",P0
TC-041,,工作台-待审批事项-审批拒绝,用户已登录系统，存在待审批合同,"1.在待审批事项卡片中，点击""拒绝""按钮
2.点击确认",,"1.弹出确认提示
2.审批拒绝，事项从待审批列表中移除",P1
TC-042,,工作台-无待跟进客户提示,用户已登录系统，不存在待跟进客户,1.在工作台页面，查看待跟进客户列表区域,,"1.显示""暂无待跟进客户，去新增客户""提示",P2
TC-043,,工作台-无待审批事项提示,用户已登录系统，不存在待审批事项,1.在工作台页面，查看待审批事项卡片区域,,"1.显示""暂无待审批事项""提示",P2
TC-044,,客户管理-列表页面展示,用户已登录系统（admin/admin）,"1.在顶部导航菜单中，点击""客户管理""模块",,1.进入客户管理列表页面，展示客户列表及操作入口,P1
TC-045,,客户管理-工具栏按钮,用户已登录系统，进入客户管理列表页,1.在客户管理列表页面，查看工具栏,,1.工具栏包含：新增客户按钮、导入按钮、导出按钮、筛选按钮,P1
TC-046,,客户管理-新增客户入口,用户已登录系统，进入客户管理列表页,1.在工具栏中，点击「新增客户」按钮,,1.弹出新增/编辑客户弹窗,P0
TC-047,R009,客户管理-新增客户-客户名称必填,用户已登录系统，弹出新增客户弹窗,"1.在新增客户弹窗中，客户名称留空，填写其他必填字段
2.点击""保存""按钮",1.客户名称：（空）,"1.客户名称字段高亮提示""客户名称不能为空""
2.提示""客户名称不能为空""，保存失败",P0
TC-048,R009,客户管理-新增客户-客户名称1字符（边界值）,用户已登录系统，弹出新增客户弹窗,"1.在客户名称输入框中，输入1个字符
2.点击""保存""按钮",1.客户名称：a,"1.输入成功
2.提示""客户名称长度需2-100字符""",P1
TC-049,R009,客户管理-新增客户-客户名称2字符（边界值）,用户已登录系统，弹出新增客户弹窗,"1.在客户名称输入框中，输入2个字符
2.填写其他必填字段，点击""保存""按钮",1.客户名称：张三,"1.输入成功
2.保存成功",P1
TC-050,R009,客户管理-新增客户-客户名称100字符（边界值）,用户已登录系统，弹出新增客户弹窗,"1.在客户名称输入框中，输入100个字符
2.填写其他必填字段，点击""保存""按钮",1.客户名称：aaa...（100字符）,"1.输入成功
2.保存成功",P1
TC-051,R009,客户管理-新增客户-客户名称101字符（边界值）,用户已登录系统，弹出新增客户弹窗,"1.在客户名称输入框中，输入101个字符
2.点击""保存""按钮",1.客户名称：aaa...（101字符）,"1.输入成功
2.提示""客户名称长度需2-100字符""",P1
TC-052,R010,客户管理-新增客户-联系电话格式验证,用户已登录系统，弹出新增客户弹窗,"1.在联系电话输入框中，输入非11位手机号
2.点击""保存""按钮",1.联系电话：12345,"1.输入成功
2.提示""联系电话需为11位手机号格式""",P0
TC-053,R010,客户管理-新增客户-联系电话正确格式,用户已登录系统，弹出新增客户弹窗,"1.在联系电话输入框中，输入11位手机号
2.填写其他必填字段，点击""保存""按钮",1.联系电话：17612345678,"1.输入成功
2.保存成功",P1
TC-054,R011,客户管理-新增客户-客户标签多选,用户已登录系统，弹出新增客户弹窗,"1.在客户标签下拉中，选择3个标签
2.再选择第4个标签","1.客户标签：意向客户、老客户、潜在客户
2.客户标签：新增第4个标签","1.已选中3个标签
2.提示""最多只能选择3个标签""",P1
TC-055,,客户管理-新增客户-负责人必填,用户已登录系统，弹出新增客户弹窗,"1.在新增客户弹窗中，负责人下拉留空，填写其他必填字段
2.点击""保存""按钮",1.负责人：（空）,"1.负责人字段高亮提示""负责人不能为空""
2.提示""负责人不能为空""，保存失败",P0
TC-056,,客户管理-新增客户-保存成功,用户已登录系统，弹出新增客户弹窗,"1.在弹窗中填写客户名称
2.选择行业
3.输入联系电话
4.选择负责人
5.点击""保存""按钮","1.客户名称：测试客户A
2.行业：互联网
3.联系电话：17612345678
4.负责人：管理员","1.输入成功
2.已选择""互联网""
3.输入成功
4.已选择""管理员""
5.保存成功，弹窗关闭，客户列表新增一条记录",P0
TC-057,,客户管理-新增客户-取消操作,用户已登录系统，弹出新增客户弹窗,"1.在弹窗中填写部分信息
2.点击""取消""按钮",1.客户名称：测试客户B,"1.输入成功
2.弹窗关闭，不保存数据",P1
TC-058,,客户管理-查看客户详情,用户已登录系统，客户管理列表页存在客户数据,1.在客户列表中，点击某客户的「查看」按钮,,1.弹出客户详情弹窗，展示客户完整信息（基本信息、跟进记录摘要）,P0
TC-059,,客户管理-编辑客户信息,用户已登录系统，客户管理列表页存在客户数据,"1.在客户列表中，点击某客户的「编辑」按钮
2.修改客户名称
3.点击""保存""按钮",2.客户名称：修改后的客户名称,"1.弹出编辑客户弹窗
2.输入成功
3.保存成功，弹窗关闭，客户列表中客户名称已更新",P0
TC-060,R008,客户管理-删除客户需二次确认,用户已登录系统，客户管理列表页存在客户数据,"1.在客户列表中，点击某客户的「删除」按钮
2.点击""取消""
3.再次点击「删除」按钮，点击""确认""",,"1.弹出确认提示""确定要删除该客户吗？""
2.删除取消，客户数据保留
3.删除成功，客户从列表中移除",P0
TC-061,,客户管理-关键词搜索,用户已登录系统，客户管理列表页存在多条客户数据,"1.在搜索框中，输入客户姓名关键词
2.按回车或点击搜索按钮",1.关键词：测试,"1.搜索结果实时更新
2.列表显示匹配""测试""的客户记录",P1
TC-062,,客户管理-高级筛选-行业,用户已登录系统，客户管理列表页存在多条客户数据,"1.点击""筛选""按钮，展开高级筛选
2.在行业下拉中选择""互联网""
3.点击""应用""按钮",2.行业：互联网,"1.高级筛选区域展开
2.已选择""互联网""
3.列表显示行业为""互联网""的客户记录",P1
TC-063,,客户管理-高级筛选-负责人,用户已登录系统，客户管理列表页存在多条客户数据,"1.点击""筛选""按钮，展开高级筛选
2.在负责人下拉中选择""管理员""
3.点击""应用""按钮",2.负责人：管理员,"1.高级筛选区域展开
2.已选择""管理员""
3.列表显示负责人为""管理员""的客户记录",P1
TC-064,,客户管理-高级筛选-创建时间,用户已登录系统，客户管理列表页存在多条客户数据,"1.点击""筛选""按钮，展开高级筛选
2.在创建时间选择器中选择日期范围
3.点击""应用""按钮",2.创建时间：2025-01-01 至 2025-12-31,"1.高级筛选区域展开
2.日期范围选择成功
3.列表显示创建时间在范围内的客户记录",P1
TC-065,R005,客户管理-联系方式脱敏显示,用户已登录系统，客户管理列表页存在客户数据,1.在客户列表中，查看客户联系电话列,,1.联系电话显示为脱敏格式：如 176****3123,P0
TC-066,R006,客户管理-普通用户只能查看自己负责的客户,系统存在普通用户（非管理员），该用户负责客户A，不负责客户B,"1.使用普通用户账号登录系统
2.进入客户管理模块",1.用户名：user1，密码：user123,"1.登录成功
2.只能看到自己负责的客户A，看不到客户B",P0
TC-067,R007,客户管理-管理员可以查看所有客户,系统存在管理员账号和多个客户数据,"1.使用管理员账号登录系统
2.进入客户管理模块",1.用户名：admin，密码：admin,"1.登录成功
2.可以查看所有客户数据，包括其他负责人创建的客户",P0
TC-068,,跟进记录-列表页面展示,用户已登录系统（admin/admin）,"1.在顶部导航菜单中，点击""跟进记录""模块",,1.进入跟进记录列表页面，展示跟进记录列表,P1
TC-069,,跟进记录-关键词搜索,用户已登录系统，跟进记录列表页存在多条数据,"1.在搜索框中，输入客户姓名或跟进内容关键词
2.按回车或点击搜索按钮",1.关键词：项目需求,"1.搜索结果实时更新
2.列表显示匹配的跟进记录",P1
TC-070,,跟进记录-新增跟进记录入口,用户已登录系统，存在客户数据,1.在跟进记录列表页面，点击「新增跟进」按钮,,1.弹出新增跟进记录弹窗,P0
TC-071,,跟进记录-新增-关联客户必填,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中，关联客户下拉留空
2.点击""保存""按钮",1.关联客户：（空）,"1.关联客户字段高亮提示""请选择关联客户""
2.提示""关联客户不能为空""，保存失败",P0
TC-072,,跟进记录-新增-跟进方式必填,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中选择关联客户
2.跟进方式下拉留空
3.点击""保存""按钮","1.关联客户：测试客户A
2.跟进方式：（空）","1.已选择""测试客户A""
2.跟进方式字段高亮提示""请选择跟进方式""
3.提示""跟进方式不能为空""，保存失败",P0
TC-073,R013,跟进记录-新增-跟进内容必填且长度校验,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中选择关联客户和跟进方式
2.跟进内容输入框留空
3.点击""保存""按钮","1.关联客户：测试客户A，跟进方式：电话
2.跟进内容：（空）","1.选择成功
2.跟进内容字段高亮提示""跟进内容不能为空""
3.提示""跟进内容不能为空""，保存失败",P0
TC-074,R013,跟进记录-新增-跟进内容9字符（边界值）,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中填写关联客户和跟进方式
2.在跟进内容输入框中输入9个字符
3.点击""保存""按钮","1.关联客户：测试客户A，跟进方式：电话
2.跟进内容：沟通需求","1.选择成功
2.输入成功
3.提示""跟进内容长度需10-2000字符""",P1
TC-075,R013,跟进记录-新增-跟进内容10字符（边界值）,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中填写关联客户、跟进方式、跟进内容10字符
2.填写跟进时间
3.点击""保存""按钮","1.跟进内容：与客户沟通了项目需求确认
2.跟进时间：2025-06-20 10:00","1.输入成功
2.时间选择成功
3.保存成功",P1
TC-076,R013,跟进记录-新增-跟进内容2000字符（边界值）,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中填写关联客户、跟进方式、跟进内容2000字符
2.填写跟进时间，点击""保存""按钮",1.跟进内容：aaa...（2000字符）,"1.输入成功
2.保存成功",P1
TC-077,R013,跟进记录-新增-跟进内容2001字符（边界值）,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中填写关联客户、跟进方式
2.在跟进内容输入框中输入2001个字符
3.点击""保存""按钮",2.跟进内容：aaa...（2001字符）,"1.选择成功
2.输入成功
3.提示""跟进内容长度需10-2000字符""",P1
TC-078,R014,跟进记录-新增-下次跟进时间不能早于当前时间,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中填写关联客户、跟进方式、跟进内容
2.在下下次跟进时间选择器中，选择过去的时间
3.点击""保存""按钮",2.下次跟进时间：2020-01-01,"1.填写成功
2.日期选择成功
3.提示""下次跟进时间不能早于当前时间""",P0
TC-079,,跟进记录-新增-保存成功,用户已登录系统，弹出新增跟进记录弹窗,"1.在弹窗中选择关联客户
2.选择跟进方式
3.输入跟进内容
4.选择跟进时间
5.选择下次跟进时间（可选）
6.点击""保存""按钮","1.关联客户：测试客户A
2.跟进方式：电话
3.跟进内容：与客户沟通了项目需求，确认下周安排演示
4.跟进时间：2025-06-20 10:00
5.下次跟进时间：2025-06-25","1.已选择""测试客户A""
2.已选择""电话""
3.输入成功
4.时间选择成功
5.日期选择成功
6.保存成功，弹窗关闭，跟进记录列表新增一条记录",P0
